,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot,scenario,wind_condition,transmission_setting
12751,DE0 369 battery,7.41736507,51.45782109,98755.46204356888,98755.46778004915,0.12342766943690989,0.005142843248075539,2025-04-08 00:00:00,scenario1,notwindy,fixed
12752,DE0 362 battery,8.27221079,49.02837674,98754.09355880342,98754.10049950909,0.12339424539444202,0.005141453257356914,2025-04-08 23:00:00,scenario1,notwindy,fixed
12753,DE0 141 battery,6.99593046,51.51407212,98755.49180524722,98755.49704434916,0.12338407770635686,0.005141024462461516,2025-04-08 01:00:00,scenario1,notwindy,fixed
12754,DE0 211 battery,8.30819129,49.25696865,98753.9938913127,98754.00080678822,0.12335784564351651,0.0051399366671649295,2025-04-08 23:00:00,scenario1,notwindy,fixed
12755,DE0 265 battery,6.92567474,51.49885777,98754.93938319925,98754.94462905696,0.12332886395323614,0.005138724288966724,2025-04-08 01:00:00,scenario1,notwindy,fixed
12756,DE0 341 battery,7.03713067,51.54071328,98754.74372373776,98754.74889285363,0.12331637794619348,0.005138200207546519,2025-04-08 01:00:00,scenario1,notwindy,fixed
12757,DE0 247 battery,8.35212527,49.42112904,98754.26649932687,98754.27339953004,0.12331213322291068,0.00513803324446124,2025-04-08 00:00:00,scenario1,notwindy,fixed
12758,DE0 401 battery,7.03762331,51.5985365,98754.86547230715,98754.87059495244,0.12329894575068925,0.005137473702243294,2025-04-08 01:00:00,scenario1,notwindy,fixed
12759,DE0 427 battery,7.02087387,51.55859926,98754.55956165423,98754.56473377094,0.12328117935813422,0.005136736679047185,2025-04-08 01:00:00,scenario1,notwindy,fixed
12760,DE0 337 battery,6.92953437,51.56512891,98754.60799851558,98754.61319239091,0.12327897670903643,0.005136645581882229,2025-04-08 01:00:00,scenario1,notwindy,fixed
12761,DE0 16 battery,8.58857704,49.81584445,98753.1892205653,98753.19625055286,0.12326000241379803,0.005135864703222852,2025-04-08 00:00:00,scenario1,notwindy,fixed
12762,DE0 386 battery,9.0735161,49.3119354,98751.72980884463,98751.7370520605,0.12322430312943741,0.005134374013659784,2025-04-08 23:00:00,scenario1,notwindy,fixed
12763,DE0 9 battery,9.24019596,48.54315025,98751.2605824871,98751.2678550663,0.12320594010430419,0.005133608969283302,2025-04-08 23:00:00,scenario1,notwindy,fixed
12764,DE0 157 battery,8.67838138,49.94246116,98752.4286887597,98752.4357829037,0.12316403887487276,0.005131866199636693,2025-04-08 23:00:00,scenario1,notwindy,fixed
12765,DE0 289 battery,7.02266974,51.62543439,98753.55715346384,98753.56227914765,0.12315044811747636,0.005131289698623406,2025-04-08 01:00:00,scenario1,notwindy,fixed
12766,DE0 304 battery,8.53095903,49.85314896,98752.1372067434,98752.1443296809,0.1231457854868683,0.005131101341979816,2025-04-08 00:00:00,scenario1,notwindy,fixed
12767,DE0 227 battery,7.05958771,51.69623367,98753.15509419095,98753.16017183686,0.12311438791177748,0.005129786764787582,2025-04-08 01:00:00,scenario1,notwindy,fixed
12768,DE0 200 battery,9.09166467,49.29456632,98750.60023519925,98750.60758166583,0.12310883568253367,0.005129561299632497,2025-04-08 23:00:00,scenario1,notwindy,fixed
12769,DE0 178 battery,7.3437134,51.613105,98752.55354763614,98752.55935729423,0.12310877690086966,0.0051295561924494405,2025-04-08 00:00:00,scenario1,notwindy,fixed
12770,DE0 288 battery,6.85591238,51.67963527,98751.98704396654,98751.99229740805,0.12299222455844216,0.0051246973945383205,2025-04-08 01:00:00,scenario1,notwindy,fixed
12771,DE0 155 battery,8.50191528,49.44494142,98752.17972070514,98752.18674312455,0.12298958942658464,0.0051245908999234535,2025-04-08 00:00:00,scenario1,notwindy,fixed
12772,DE0 437 battery,7.3699008,51.586949,98751.23543995486,98751.24122514721,0.12297255412650887,0.005123880214569134,2025-04-08 00:00:00,scenario1,notwindy,fixed
12773,DE0 395 battery,7.36765611,51.62877256,98751.10629626596,98751.11216216734,0.12296217382336727,0.005123447954320941,2025-04-08 00:00:00,scenario1,notwindy,fixed
12774,DE0 294 battery,7.40322144,51.64435757,98751.07652656431,98751.0825290318,0.12296011551223508,0.005123362017161918,2025-04-08 00:00:00,scenario1,notwindy,fixed
12775,DE0 376 battery,7.35301948,51.57579337,98751.13098849264,98751.136708468,0.12295946971008828,0.005123334475525614,2025-04-08 01:00:00,scenario1,notwindy,fixed
12776,DE0 171 battery,6.68032039,51.64653335,98751.1401681796,98751.14547939654,0.12291142108691747,0.00512133023823982,2025-04-08 01:00:00,scenario1,notwindy,fixed
12777,DE0 306 battery,6.78609025,51.50569098,98750.55454958591,98750.55989878143,0.12286788657646591,0.005119513336961625,2025-04-08 01:00:00,scenario1,notwindy,fixed
12778,DE0 348 battery,6.63592878,51.62183433,98750.55265013092,98750.55797849194,0.12284977587944035,0.005118762209764707,2025-04-08 01:00:00,scenario1,notwindy,fixed
12779,DE0 111 battery,8.36487768,51.92729017,98749.24517808571,98749.25175787655,0.12284028382053652,0.005118371832972654,2025-04-08 00:00:00,scenario1,notwindy,fixed
12780,DE0 251 battery,8.77211274,49.97464961,98749.00695735712,98749.01434662654,0.12282832454430112,0.005117879639398859,2025-04-08 23:00:00,scenario1,notwindy,fixed
12781,DE0 444 battery,6.64624066,51.60701721,98750.27423973911,98750.27957705744,0.12282214980398512,0.005117611174283462,2025-04-08 01:00:00,scenario1,notwindy,fixed
12782,DE0 394 battery,7.45643444,51.66014682,98749.53473578708,98749.54104689306,0.12282165765111565,0.005117594694804673,2025-04-08 00:00:00,scenario1,notwindy,fixed
12783,DE0 98 battery,8.38969877,49.98232345,98748.87296764913,98748.88036654671,0.12282127262822926,0.005117583305392065,2025-04-08 00:00:00,scenario1,notwindy,fixed
12784,DE0 297 battery,7.6098655,51.6888464,98749.24820686744,98749.25484090105,0.12280720048300844,0.00511699285934794,2025-04-08 00:00:00,scenario1,notwindy,fixed
12785,DE0 443 battery,7.7008697,51.6903695,98748.96333699887,98748.97013892047,0.12279408363919592,0.005116448035278348,2025-04-08 00:00:00,scenario1,notwindy,fixed
12786,DE0 90 battery,7.70872077,51.67675035,98748.94368511882,98748.95053329815,0.1227903180299669,0.005116290316485706,2025-04-08 00:00:00,scenario1,notwindy,fixed
