scenario,carrier,available_mwh,dispatched_mwh,curtailed_mwh,capacity_mw,curtailment_share_pct,scenario_name,transmission_setting,wind_condition
germany_scenario2040-ext_notwindy,offwind-ac,49167.877964178,49153.86751689395,14.010447284040628,66000.0,0.0284951229626955,scenario2040,ext,notwindy
germany_scenario2040-ext_notwindy,onwind,140893.31838097714,138413.43730213365,2479.881078843513,209000.0,1.7601126209107278,scenario2040,ext,notwindy
germany_scenario2040-ext_notwindy,ror,95470.84405394904,95407.79871277256,63.04534117649291,6000.0,0.066036224777553,scenario2040,ext,notwindy
germany_scenario2040-ext_notwindy,solar,1861083.320336564,1774313.1116294002,86770.20870716413,367000.0,4.662349490697296,scenario2040,ext,notwindy
germany_scenario2040-ext_windvariability,offwind-ac,1026137.7592586076,370412.345375545,655725.4138830625,66000.0,63.90227900363292,scenario2040,ext,windvariability
germany_scenario2040-ext_windvariability,onwind,2293807.4197341623,1567279.2274773952,726528.1922567671,209000.0,31.67346072762146,scenario2040,ext,windvariability
germany_scenario2040-ext_windvariability,ror,39190.564535047466,39164.672158957386,25.89237609007841,6000.0,0.0660678824029781,scenario2040,ext,windvariability
germany_scenario2040-ext_windvariability,solar,382771.3733163508,378092.1485359783,4679.224780372493,367000.0,1.2224594383408167,scenario2040,ext,windvariability
germany_scenario2040-ext_windy,offwind-ac,1396516.7151293985,52583.30240000631,1343933.4127293918,66000.0,96.23468148785214,scenario2040,ext,windy
germany_scenario2040-ext_windy,onwind,4334287.0906736255,1348408.2100149062,2985878.88065872,209000.0,68.88973476361625,scenario2040,ext,windy
germany_scenario2040-ext_windy,ror,59907.620967236144,59852.94567446227,54.67529277387075,6000.0,0.0912660057119828,scenario2040,ext,windy
germany_scenario2040-ext_windy,solar,517236.4126476537,437885.3086685882,79351.10397906555,367000.0,15.34136074698984,scenario2040,ext,windy
germany_scenario2040-fixed_notwindy,offwind-ac,49167.877964178,47793.72120911908,1374.1567550589152,66000.0,2.794826240131978,scenario2040,fixed,notwindy
germany_scenario2040-fixed_notwindy,onwind,140893.31838097714,136999.2309571181,3894.087423859074,209000.0,2.763855283278528,scenario2040,fixed,notwindy
germany_scenario2040-fixed_notwindy,ror,95470.84405394904,93981.69198776947,1489.152066179563,6000.0,1.5597977381849342,scenario2040,fixed,notwindy
germany_scenario2040-fixed_notwindy,solar,1861083.320336564,1529976.9955908707,331106.3247456936,367000.0,17.791053260625393,scenario2040,fixed,notwindy
germany_scenario2040-fixed_windvariability,offwind-ac,1026137.7592586076,81047.23382787597,945090.5254307316,66000.0,92.10171995946888,scenario2040,fixed,windvariability
germany_scenario2040-fixed_windvariability,onwind,2293807.4197341623,1227490.372509854,1066317.0472243084,209000.0,46.486772954457,scenario2040,fixed,windvariability
germany_scenario2040-fixed_windvariability,ror,39190.564535047466,38396.44640587668,794.1181291707917,6000.0,2.026299285534979,scenario2040,fixed,windvariability
germany_scenario2040-fixed_windvariability,solar,382771.3733163508,277988.6529045583,104782.72041179256,367000.0,27.374753630071574,scenario2040,fixed,windvariability
