scenario,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot,wind_condition,scenario_name,transmission_setting
germany_scenario2040-fixed_notwindy,DE0 89,8.93289828,52.19312945,6686.218848704298,6786.120118740011,5.938094061025808e-05,2.546676164225259e-06,2025-04-08 05:00:00,notwindy,scenario2040,fixed
germany_scenario2040-fixed_notwindy,DE0 89 battery,8.93289828,52.19312945,6640.963936962748,6648.468010728502,5.848010433990064e-05,2.442102910040081e-06,2025-04-08 02:00:00,notwindy,scenario2040,fixed
germany_scenario2040-fixed_windvariability,DE0 184,11.86805459,48.20668527,9992.547597974588,10000.009482498042,33168.83707680105,2624.651715847767,2025-10-06 17:00:00,windvariability,scenario2040,fixed
germany_scenario2040-fixed_windvariability,DE0 99,9.14932303,49.14277516,10000.008823230784,10000.009293890864,31774.34857161178,1969.7510468975563,2025-10-06 17:00:00,windvariability,scenario2040,fixed
germany_scenario2040-fixed_windvariability,DE0 69,11.81301418,48.22131789,10000.009182022595,10000.009305351534,19848.58985925936,1043.2347426685806,2025-10-06 05:00:00,windvariability,scenario2040,fixed
germany_scenario2040-fixed_windvariability,DE0 330,8.31305358,49.00906475,10000.009996762716,10000.010168975004,15062.98244335374,853.8728457010884,2025-10-06 08:00:00,windvariability,scenario2040,fixed
germany_scenario2040-fixed_windvariability,DE0 60,7.75142368,48.0963496,9998.609663399302,10000.01033068276,12339.517246180974,834.0731618394861,2025-10-06 17:00:00,windvariability,scenario2040,fixed
germany_scenario2040-fixed_windy,DE0 386,9.0735161,49.3119354,9881.710756895314,10000.009703754253,2561.241440603423,212.89083922164323,2025-10-26 17:00:00,windy,scenario2040,fixed
germany_scenario2040-fixed_windy,DE0 390,8.49096373,49.24502648,9810.560933310771,10000.01014227689,1941.8504875097533,234.36867200769456,2025-10-26 18:00:00,windy,scenario2040,fixed
germany_scenario2040-fixed_windy,DE0 386 battery,9.0735161,49.3119354,9791.92158526922,9797.95889476948,0.0017588230474796,7.531594219406659e-05,2025-10-26 22:00:00,windy,scenario2040,fixed
germany_scenario2040-fixed_windy,DE0 390 battery,8.49096373,49.24502648,9791.01041355916,9797.959924668845,0.001751003988039,7.529745514762474e-05,2025-10-26 19:00:00,windy,scenario2040,fixed
germany_scenario2040-fixed_windy,DE0 163,8.43924186,49.25511586,9159.518929965858,9342.385171518545,0.0004559672117142,2.3097935801907e-05,2025-10-26 16:00:00,windy,scenario2040,fixed
